sku,name,description,price,currency,category,subcategory,brand,color,size,material,style_tags,season,gender,occasion,image_url,stock_status,rating,popularity_score
SKU-00001,Nike Black Maxi Dress,All-Season Maxi Dress for women. Cotton material with elegant style. Perfect for party occasions.,66.42,USD,Dresses,Maxi Dress,Nike,Black,L,Cotton,elegant,All-Season,Women,Party,https://placeholder.com/products/dresses-1.jpg,In Stock,4.6,34
SKU-00002,Forever 21 Olive Sandals,Summer Sandals for men. Silk material with statement style. Perfect for casual occasions.,43.74,USD,Footwear,Sandals,Forever 21,Olive,M,Silk,statement,Summer,Men,Casual,https://placeholder.com/products/footwear-2.jpg,In Stock,3.6,88
SKU-00003,Uniqlo Pink Leggings,Winter Leggings for men. Cotton material with classic style. Perfect for sports occasions.,57.94,USD,Bottoms,Leggings,Uniqlo,Pink,L,Cotton,classic,Winter,Men,Sports,https://placeholder.com/products/bottoms-3.jpg,Out of Stock,3.5,21
SKU-00004,Mango Blue Tank Top,Winter Tank Top for men. Leather material with minimalist style. Perfect for travel occasions.,50.85,USD,Tops,Tank Top,Mango,Blue,XL,Leather,minimalist,Winter,Men,Travel,https://placeholder.com/products/tops-4.jpg,In Stock,3.7,63
SKU-00005,Zara Blue Hoodie,Winter Hoodie for unisex. Synthetic material with minimalist style. Perfect for wedding occasions.,36.81,USD,Tops,Hoodie,Zara,Blue,S,Synthetic,minimalist,Winter,Unisex,Wedding,https://placeholder.com/products/tops-5.jpg,Out of Stock,4.3,1
SKU-00006,Levi's Cream Sneakers,All-Season Sneakers for unisex. Polyester material with athletic style. Perfect for office occasions.,78.22,USD,Footwear,Sneakers,Levi's,Cream,L,Polyester,athletic,All-Season,Unisex,Office,https://placeholder.com/products/footwear-6.jpg,In Stock,4.6,5
SKU-00007,Adidas Beige Sweater,Spring Sweater for women. Cotton material with casual style. Perfect for casual occasions.,42.89,USD,Tops,Sweater,Adidas,Beige,XS,Cotton,casual,Spring,Women,Casual,https://placeholder.com/products/tops-7.jpg,In Stock,3.2,63
SKU-00008,Adidas Yellow Midi Dress,All-Season Midi Dress for women. Wool material with chic style. Perfect for office occasions.,76.96,USD,Dresses,Midi Dress,Adidas,Yellow,S,Wool,chic,All-Season,Women,Office,https://placeholder.com/products/dresses-8.jpg,In Stock,4.2,66
SKU-00009,Levi's Navy Cocktail Dress,Fall Cocktail Dress for men. Cotton material with chic style. Perfect for casual occasions.,48.01,USD,Dresses,Cocktail Dress,Levi's,Navy,M,Cotton,chic,Fall,Men,Casual,https://placeholder.com/products/dresses-9.jpg,Low Stock,4,55
SKU-00010,Pull&Bear Olive Shirt,Summer Shirt for women. Wool material with streetwear style. Perfect for formal occasions.,44.4,USD,Tops,Shirt,Pull&Bear,Olive,S,Wool,streetwear,Summer,Women,Formal,https://placeholder.com/products/tops-10.jpg,Low Stock,4.8,11
SKU-00011,H&M Olive Sunglasses,Fall Sunglasses for women. Polyester material with trendy style. Perfect for wedding occasions.,92.09,USD,Accessories,Sunglasses,H&M,Olive,L,Polyester,trendy,Fall,Women,Wedding,https://placeholder.com/products/accessories-11.jpg,In Stock,4.7,12
SKU-00012,Adidas Pink Heels,Winter Heels for men. Cotton material with comfortable style. Perfect for office occasions.,139.44,USD,Footwear,Heels,Adidas,Pink,S,Cotton,comfortable,Winter,Men,Office,https://placeholder.com/products/footwear-12.jpg,Low Stock,4.2,97
SKU-00013,H&M Red Shorts,Winter Shorts for men. Wool material with relaxed style. Perfect for sports occasions.,63.99,USD,Bottoms,Shorts,H&M,Red,M,Wool,relaxed,Winter,Men,Sports,https://placeholder.com/products/bottoms-13.jpg,In Stock,4,84
